PolicyNumber,CustomerID,Name,City,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P1394,C1394,Kunal Mehta,Delhi,Male,45,Auto,12-02-2023,12-02-2024,1256.8,88186.7,CL1394,,0,Rejected
P1395,C1395,Kunal Mehta,Ahmedabad,Female,37,Auto,24-01-2024,23-01-2025,1051.25,59554.02,CL1395,21-04-2024,6343.07,Settled
P1396,C1396,Sai Kumar,Hyderabad,Male,53,Travel,03-10-2024,03-10-2025,603.95,93867.68,CL1396,05-09-2025,8783.4,Rejected
P1397,C1397,Ananya Gupta,Delhi,Male,53,Travel,20-11-2023,19-11-2024,827.88,99972.57,CL1397,,0,Rejected
P1398,C1398,Neha Joshi,Kolkata,Female,65,Auto,17-07-2024,17-07-2025,930.38,46266.34,CL1398,,0,Rejected
P1399,C1399,Vihaan Reddy,Delhi,Male,52,Travel,02-02-2025,02-02-2026,1192.84,53309.73,CL1399,,0,Rejected
P1400,C1400,Sai Kumar,Mumbai,Male,47,Health,05-08-2023,04-08-2024,1291.17,89201.22,CL1400,13-08-2023,7595.28,Rejected
P1401,C1401,Sneha Iyer,Indore,Male,21,Health,14-07-2023,13-07-2024,695.4,25938.44,CL1401,23-12-2023,4459,Settled
P1402,C1402,Meera Kulkarni,Delhi,Female,39,Auto,10-04-2024,10-04-2025,721.37,98311.59,CL1402,19-01-2025,6080.04,Pending
P1403,C1403,Kunal Mehta,Jaipur,Female,59,Health,14-02-2024,13-02-2025,551.87,84668.77,CL1403,10-05-2024,5644.39,Rejected
P1404,C1404,Aarav Sharma,Jaipur,Female,55,Auto,27-04-2024,27-04-2025,555.03,62889.23,CL1404,18-04-2025,2626.58,Rejected
P1405,C1405,Neha Joshi,Hyderabad,Male,32,Health,13-08-2024,13-08-2025,959.9,28401,CL1405,,0,Rejected
P1406,C1406,Aditya Verma,Delhi,Female,57,Health,14-12-2025,14-12-2026,818.26,81548.79,CL1406,19-09-2026,4107.96,Pending
P1407,C1407,Ishita Singh,Jaipur,Male,46,Travel,06-05-2025,06-05-2026,1296.44,33376.35,CL1407,29-03-2026,2413.36,Rejected
P1408,C1408,Vihaan Reddy,Ahmedabad,Male,56,Travel,26-03-2023,25-03-2024,588.69,48907.66,CL1408,09-03-2024,1481.81,Rejected
P1409,C1409,Vihaan Reddy,Pune,Male,36,Auto,21-01-2024,20-01-2025,1143.92,87198.72,CL1409,15-06-2024,9242.74,Pending
P1410,C1410,Kunal Mehta,Mumbai,Male,42,Health,31-01-2025,31-01-2026,524.7,91533.64,CL1410,,0,Rejected
P1411,C1411,Priya Nair,Lucknow,Female,47,Health,16-05-2025,16-05-2026,1263.23,32892.95,CL1411,25-08-2025,1947.56,Pending
P1412,C1412,Aarav Sharma,Delhi,Male,57,Health,07-08-2023,06-08-2024,525.72,63647.29,CL1412,08-09-2023,6432.53,Settled
P1413,C1413,Sneha Iyer,Delhi,Female,59,Auto,05-08-2025,05-08-2026,1370.08,98631.96,CL1413,05-11-2025,5811.78,Settled
P1414,C1414,Aarav Sharma,Delhi,Female,31,Travel,21-10-2025,21-10-2026,677.62,37152.03,CL1414,,0,Rejected
P1415,C1415,Ishita Singh,Indore,Male,39,Health,23-06-2025,23-06-2026,791.53,46993.22,CL1415,14-04-2026,8676.13,Settled
P1416,C1416,Meera Kulkarni,Delhi,Female,73,Travel,28-03-2023,27-03-2024,1001.31,39524.11,CL1416,16-10-2023,2381.54,Pending
P1417,C1417,Kunal Mehta,Chandigarh,Female,24,Auto,19-01-2023,19-01-2024,1152.88,83480.42,CL1417,03-12-2023,4287.54,Rejected
P1418,C1418,Arjun Nair,Jaipur,Male,22,Travel,06-12-2025,06-12-2026,510.58,29007.01,CL1418,11-07-2026,8066.63,Rejected
P1419,C1419,Rohan Desai,Kolkata,Male,24,Health,14-04-2024,14-04-2025,484.02,83509.66,CL1419,,0,Rejected
P1420,C1420,Aarav Sharma,Bengaluru,Female,54,Travel,26-04-2024,26-04-2025,361.54,63765.55,CL1420,24-06-2024,3841.73,Rejected
P1421,C1421,Aditya Verma,Indore,Male,72,Travel,03-07-2023,02-07-2024,1360.6,32765.49,CL1421,22-11-2023,2423.09,Pending
P1422,C1422,Kunal Mehta,Bengaluru,Female,30,Travel,23-07-2025,23-07-2026,1064.56,48861.44,CL1422,23-07-2025,1950.32,Settled
P1423,C1423,Ishita Singh,Jaipur,Female,28,Health,12-01-2024,11-01-2025,368.17,81157.37,CL1423,,0,Rejected
P1424,C1424,Aarav Sharma,Bengaluru,Female,46,Travel,24-07-2025,24-07-2026,1468.11,54680.09,CL1424,,0,Rejected
P1425,C1425,Ishita Singh,Kolkata,Female,61,Auto,02-09-2025,02-09-2026,573.76,89214.33,CL1425,14-06-2026,8273.28,Pending
P1426,C1426,Aarav Sharma,Mumbai,Female,48,Auto,29-03-2024,29-03-2025,719.27,91706.74,CL1426,17-11-2024,2203.65,Pending
P1427,C1427,Rohan Desai,Chennai,Female,39,Travel,12-07-2023,11-07-2024,825.8,98390.75,CL1427,,0,Rejected
P1428,C1428,Sneha Iyer,Jaipur,Male,25,Auto,24-11-2024,24-11-2025,1146.55,31961.94,CL1428,21-05-2025,2791.9,Settled
P1429,C1429,Kunal Mehta,Jaipur,Male,29,Health,21-07-2024,21-07-2025,525.91,22430.25,CL1429,16-07-2025,8055.12,Settled
P1430,C1430,Vihaan Reddy,Indore,Female,73,Auto,11-06-2024,11-06-2025,1486.56,44991.48,CL1430,06-03-2025,8916.76,Settled
P1431,C1431,Arjun Nair,Mumbai,Male,68,Auto,25-04-2023,24-04-2024,779.54,92159.31,CL1431,30-07-2023,3641.84,Settled
P1432,C1432,Sai Kumar,Jaipur,Male,73,Health,11-12-2024,11-12-2025,250.61,41004.6,CL1432,30-08-2025,7407.26,Rejected
P1433,C1433,Ishita Singh,Bengaluru,Male,41,Health,28-03-2025,28-03-2026,251.88,47067.49,CL1433,22-07-2025,8352.34,Settled
P1434,C1434,Ananya Gupta,Chennai,Male,50,Auto,02-04-2023,01-04-2024,343.46,73679.84,CL1434,11-07-2023,6149.21,Rejected
P1435,C1435,Kavya Reddy,Lucknow,Male,41,Travel,28-12-2025,28-12-2026,1285.01,62195.15,CL1435,26-08-2026,6470.36,Settled
P1436,C1436,Ananya Gupta,Pune,Female,45,Travel,06-02-2025,06-02-2026,1468.02,38561.18,CL1436,23-11-2025,6959.8,Rejected
P1437,C1437,Ishita Singh,Pune,Male,24,Auto,13-10-2025,13-10-2026,418.52,77352.02,CL1437,03-09-2026,5904.25,Rejected
P1438,C1438,Ishita Singh,Chandigarh,Female,49,Auto,15-09-2024,15-09-2025,1411.92,71095.32,CL1438,26-10-2024,7617.44,Rejected
P1439,C1439,Sai Kumar,Pune,Male,68,Health,30-04-2025,30-04-2026,1169.27,92711.09,CL1439,06-07-2025,8825.37,Rejected
P1440,C1440,Aditya Verma,Chennai,Male,54,Travel,03-05-2025,03-05-2026,626.83,73668.75,CL1440,,0,Rejected
P1441,C1441,Sneha Iyer,Lucknow,Male,62,Travel,07-05-2023,06-05-2024,498.61,27526.36,CL1441,,0,Rejected
P1442,C1442,Rohan Desai,Indore,Male,31,Travel,22-10-2023,21-10-2024,285.68,93380.47,CL1442,17-07-2024,8160.38,Settled
P1443,C1443,Sai Kumar,Pune,Female,32,Health,28-02-2025,28-02-2026,1186.73,94696.7,CL1443,15-01-2026,6130.03,Rejected
P1444,C1444,Ananya Gupta,Lucknow,Female,56,Auto,17-05-2025,17-05-2026,293.2,67481.67,CL1444,,0,Rejected
P1445,C1445,Vivaan Patel,Hyderabad,Male,24,Health,14-01-2025,14-01-2026,1061.08,24613.65,CL1445,11-10-2025,5124.09,Settled
P1446,C1446,Aarav Sharma,Jaipur,Female,46,Travel,15-07-2024,15-07-2025,1005.34,81934.34,CL1446,27-02-2025,7601.24,Pending
P1447,C1447,Neha Joshi,Mumbai,Female,53,Auto,11-04-2025,11-04-2026,1305.87,90734.75,CL1447,10-01-2026,2637.47,Settled
P1448,C1448,Sneha Iyer,Kolkata,Female,63,Auto,29-05-2024,29-05-2025,750.07,33042.28,CL1448,11-12-2024,9101.24,Rejected
P1449,C1449,Ishita Singh,Kolkata,Male,41,Travel,05-09-2023,04-09-2024,1242.71,38882.23,CL1449,25-10-2023,5738.37,Rejected
P1450,C1450,Arjun Nair,Hyderabad,Female,38,Travel,05-01-2023,05-01-2024,443.24,93028.01,CL1450,05-10-2023,8799.31,Pending
P1451,C1451,Ananya Gupta,Bengaluru,Female,67,Auto,26-12-2025,26-12-2026,359.09,67814.12,CL1451,15-04-2026,9233.17,Pending
P1452,C1452,Vivaan Patel,Kolkata,Male,41,Health,24-03-2024,24-03-2025,467.79,21558.44,CL1452,10-02-2025,9486.41,Pending
P1453,C1453,Ananya Gupta,Mumbai,Female,60,Travel,28-01-2023,28-01-2024,506.7,30562.35,CL1453,03-03-2023,7482.75,Rejected
P1454,C1454,Kavya Reddy,Mumbai,Female,73,Health,01-05-2023,30-04-2024,1383.61,55385.61,CL1454,,0,Rejected
P1455,C1455,Pooja Sharma,Chennai,Female,55,Travel,08-05-2024,08-05-2025,830.56,48159.48,CL1455,01-01-2025,6137.27,Rejected
P1456,C1456,Aarav Sharma,Lucknow,Female,60,Health,12-02-2024,11-02-2025,403.21,75578.94,CL1456,,0,Rejected
P1457,C1457,Ishita Singh,Hyderabad,Male,29,Auto,18-06-2025,18-06-2026,1232.92,21360.07,CL1457,,0,Rejected
P1458,C1458,Sai Kumar,Delhi,Male,65,Travel,07-06-2023,06-06-2024,465.23,49168.69,CL1458,22-07-2023,5656.84,Settled
P1459,C1459,Ananya Gupta,Jaipur,Male,60,Travel,01-04-2025,01-04-2026,422.68,59956.93,CL1459,09-09-2025,4286.36,Rejected
P1460,C1460,Sneha Iyer,Kolkata,Female,72,Travel,28-01-2023,28-01-2024,1220.84,63124.62,CL1460,25-04-2023,6943.01,Rejected
P1461,C1461,Neha Joshi,Delhi,Female,26,Travel,17-06-2024,17-06-2025,1094.78,39645,CL1461,08-10-2024,7444.34,Pending
P1462,C1462,Neha Joshi,Kolkata,Male,35,Travel,29-10-2023,28-10-2024,542.62,93931.19,CL1462,31-05-2024,8138.34,Settled
P1463,C1463,Meera Kulkarni,Jaipur,Male,28,Travel,25-09-2025,25-09-2026,736.75,23254.36,CL1463,30-05-2026,5209.45,Settled
P1464,C1464,Ishita Singh,Indore,Female,40,Health,18-01-2023,18-01-2024,1369.31,88955.11,CL1464,,0,Rejected
P1465,C1465,Aarav Sharma,Ahmedabad,Female,36,Auto,06-09-2023,05-09-2024,1260.65,49122.01,CL1465,04-05-2024,8673.69,Settled
P1466,C1466,Sai Kumar,Pune,Male,71,Travel,19-06-2023,18-06-2024,1368.93,46024.3,CL1466,,0,Rejected
P1467,C1467,Meera Kulkarni,Chandigarh,Female,63,Travel,09-10-2024,09-10-2025,1142.74,80177.44,CL1467,,0,Rejected
P1468,C1468,Rohan Desai,Hyderabad,Female,22,Auto,09-11-2024,09-11-2025,1233.75,35515.5,CL1468,21-07-2025,7680.58,Rejected
P1469,C1469,Ananya Gupta,Mumbai,Female,33,Auto,09-11-2024,09-11-2025,718.65,53143.02,CL1469,,0,Rejected
P1470,C1470,Kavya Reddy,Ahmedabad,Male,48,Auto,05-10-2024,05-10-2025,1339.61,79700.09,CL1470,,0,Rejected
P1471,C1471,Rohan Desai,Indore,Male,36,Travel,20-04-2025,20-04-2026,754.41,47860.91,CL1471,04-02-2026,7946.86,Pending
P1472,C1472,Rohan Desai,Chandigarh,Female,57,Health,12-01-2024,11-01-2025,411.7,82538.24,CL1472,03-02-2024,1208.71,Settled
P1473,C1473,Sai Kumar,Pune,Male,41,Travel,05-12-2024,05-12-2025,684.97,66209.71,CL1473,12-12-2024,7182.76,Pending
P1474,C1474,Meera Kulkarni,Bengaluru,Female,59,Auto,14-01-2023,14-01-2024,662.2,62921.1,CL1474,,0,Rejected
P1475,C1475,Priya Nair,Kolkata,Male,32,Travel,18-02-2025,18-02-2026,298.87,43518.99,CL1475,,0,Rejected
P1476,C1476,Sai Kumar,Lucknow,Male,66,Travel,14-05-2023,13-05-2024,843.26,21557.8,CL1476,28-05-2023,3489.13,Pending
P1477,C1477,Kunal Mehta,Hyderabad,Male,71,Auto,10-05-2023,09-05-2024,637.03,25078.08,CL1477,24-11-2023,5872.79,Pending
P1478,C1478,Neha Joshi,Lucknow,Female,71,Auto,19-04-2025,19-04-2026,283.65,34401.85,CL1478,07-01-2026,5073.82,Pending
P1479,C1479,Vivaan Patel,Pune,Male,49,Travel,04-09-2025,04-09-2026,688.02,75546,CL1479,,0,Rejected
P1480,C1480,Vivaan Patel,Indore,Female,44,Auto,29-11-2023,28-11-2024,1321.8,40458.94,CL1480,19-08-2024,6731.28,Rejected
P1481,C1481,Arjun Nair,Hyderabad,Male,55,Health,03-03-2023,02-03-2024,635.22,46969.87,CL1481,08-02-2024,9622.9,Rejected
P1482,C1482,Neha Joshi,Hyderabad,Female,40,Auto,20-06-2025,20-06-2026,715.65,50129.68,CL1482,10-04-2026,6076.33,Settled
P1483,C1483,Sai Kumar,Kolkata,Male,37,Health,04-01-2023,04-01-2024,623.78,43164.31,CL1483,,0,Rejected
P1484,C1484,Sneha Iyer,Chennai,Female,30,Auto,19-09-2024,19-09-2025,471.64,49693.38,CL1484,,0,Rejected
P1485,C1485,Ishita Singh,Pune,Female,25,Health,26-01-2025,26-01-2026,450.35,80956.21,CL1485,26-04-2025,5778.09,Rejected
P1486,C1486,Vivaan Patel,Pune,Male,69,Travel,23-06-2024,23-06-2025,1439.77,70555.75,CL1486,,0,Rejected
P1487,C1487,Vihaan Reddy,Kolkata,Female,26,Health,04-01-2025,04-01-2026,313.09,57560.89,CL1487,13-05-2025,9583.24,Settled
P1488,C1488,Kavya Reddy,Ahmedabad,Female,39,Auto,16-08-2025,16-08-2026,1387.88,67930.19,CL1488,11-01-2026,3711.12,Settled
P1489,C1489,Kavya Reddy,Ahmedabad,Male,42,Travel,14-04-2023,13-04-2024,862.86,36357.86,CL1489,,0,Rejected
P1490,C1490,Aditya Verma,Bengaluru,Male,73,Health,17-02-2025,17-02-2026,1004.51,78468.95,CL1490,,0,Rejected
P1491,C1491,Ishita Singh,Delhi,Female,26,Travel,05-10-2025,05-10-2026,309.76,48025.59,CL1491,08-07-2026,5211.2,Pending
P1492,C1492,Meera Kulkarni,Indore,Female,63,Health,26-04-2025,26-04-2026,544.51,64686.51,CL1492,25-11-2025,2998.69,Pending
P1493,C1493,Kunal Mehta,Bengaluru,Male,69,Health,16-10-2025,16-10-2026,692.14,59598.23,CL1493,,0,Rejected
P1494,C1494,Kunal Mehta,Hyderabad,Male,41,Travel,02-04-2023,01-04-2024,1331.49,83610.5,CL1494,,0,Rejected
P1495,C1495,Priya Nair,Hyderabad,Female,59,Auto,26-07-2023,25-07-2024,429.14,57438.01,CL1495,22-10-2023,5158.31,Rejected
P1496,C1496,Rohan Desai,Lucknow,Male,21,Travel,02-07-2025,02-07-2026,1277.32,48108.38,CL1496,03-03-2026,5391.67,Settled
P1497,C1497,Sai Kumar,Lucknow,Male,33,Auto,26-12-2024,26-12-2025,1256.43,26133.71,CL1497,28-02-2025,3344.04,Pending
P1498,C1498,Aarav Sharma,Kolkata,Male,37,Health,13-11-2023,12-11-2024,1375.88,44256.36,CL1498,23-08-2024,6650.72,Pending
P1499,C1499,Priya Nair,Bengaluru,Female,74,Auto,07-02-2024,06-02-2025,1304.85,39770.35,CL1499,06-10-2024,7647.37,Rejected
P1500,C1500,Arjun Nair,Kolkata,Female,44,Travel,21-07-2024,21-07-2025,463.07,24834.68,CL1500,12-04-2025,3309.04,Rejected
P1501,C1501,Rohan Desai,Mumbai,Female,27,Health,25-04-2023,24-04-2024,514.59,54924.5,CL1501,19-03-2024,4058.23,Rejected
P1502,C1502,Sai Kumar,Jaipur,Male,42,Health,26-03-2025,26-03-2026,1131.61,74952.11,CL1502,18-10-2025,8180.82,Rejected
P1503,C1503,Kunal Mehta,Delhi,Male,35,Health,14-02-2023,14-02-2024,341.27,73865.62,CL1503,02-02-2024,9027.62,Rejected
P1504,C1504,Arjun Nair,Chennai,Male,67,Health,17-04-2024,17-04-2025,860.52,33975.35,CL1504,,0,Rejected
P1505,C1505,Ananya Gupta,Mumbai,Female,27,Auto,04-10-2025,04-10-2026,392.01,50857.47,CL1505,24-12-2025,7610.79,Pending
P1506,C1506,Priya Nair,Chennai,Female,65,Auto,11-06-2025,11-06-2026,1302.1,22216.05,CL1506,,0,Rejected
P1507,C1507,Ishita Singh,Chandigarh,Male,56,Auto,18-11-2023,17-11-2024,1096.81,52575.32,CL1507,,0,Rejected
P1508,C1508,Pooja Sharma,Chandigarh,Male,71,Travel,23-05-2023,22-05-2024,505.08,85820.55,CL1508,,0,Rejected
P1509,C1509,Vihaan Reddy,Hyderabad,Male,24,Travel,27-07-2024,27-07-2025,420.79,32447.25,CL1509,,0,Rejected
P1510,C1510,Kavya Reddy,Chandigarh,Female,63,Travel,02-10-2025,02-10-2026,647.03,51055.87,CL1510,,0,Rejected
P1511,C1511,Vihaan Reddy,Hyderabad,Female,22,Health,15-02-2023,15-02-2024,1353.99,50970.66,CL1511,04-07-2023,8153.42,Pending
P1512,C1512,Kavya Reddy,Mumbai,Female,64,Health,19-11-2023,18-11-2024,1177.05,85651.3,CL1512,22-02-2024,9826.03,Rejected
P1513,C1513,Sneha Iyer,Hyderabad,Male,72,Auto,17-03-2025,17-03-2026,326.79,66345.49,CL1513,09-08-2025,6866.98,Pending
P1514,C1514,Kavya Reddy,Delhi,Male,60,Auto,24-06-2025,24-06-2026,1435.69,35944.39,CL1514,,0,Rejected
P1515,C1515,Ishita Singh,Delhi,Male,43,Auto,06-12-2025,06-12-2026,829.53,91058.32,CL1515,04-05-2026,3692.95,Settled
P1516,C1516,Ananya Gupta,Delhi,Male,55,Travel,18-04-2023,17-04-2024,872.68,46542.24,CL1516,09-01-2024,5773.94,Pending
P1517,C1517,Meera Kulkarni,Chandigarh,Female,68,Travel,19-12-2023,18-12-2024,554.73,30337.47,CL1517,15-11-2024,6072.16,Settled
P1518,C1518,Vivaan Patel,Jaipur,Male,74,Auto,26-06-2023,25-06-2024,909.47,39169.74,CL1518,06-06-2024,8588,Rejected
P1519,C1519,Kunal Mehta,Delhi,Male,42,Auto,06-05-2023,05-05-2024,625.18,75465.38,CL1519,,0,Rejected
P1520,C1520,Priya Nair,Ahmedabad,Female,34,Travel,23-05-2023,22-05-2024,868.67,40134.46,CL1520,12-10-2023,4251.36,Settled
P1521,C1521,Kavya Reddy,Chennai,Female,31,Travel,13-04-2023,12-04-2024,922.3,38757.63,CL1521,12-10-2023,3374.07,Settled
P1522,C1522,Arjun Nair,Kolkata,Male,22,Health,24-01-2025,24-01-2026,634.11,23793.14,CL1522,,0,Rejected
P1523,C1523,Pooja Sharma,Chennai,Female,53,Health,19-02-2025,19-02-2026,327.17,42227.99,CL1523,20-01-2026,7140.92,Pending
P1524,C1524,Aarav Sharma,Lucknow,Female,38,Travel,24-01-2024,23-01-2025,502.6,90036.09,CL1524,21-04-2024,4143.43,Rejected
P1525,C1525,Sneha Iyer,Mumbai,Female,64,Health,21-11-2024,21-11-2025,1271.81,26406.94,CL1525,,0,Rejected
P1526,C1526,Kunal Mehta,Delhi,Female,45,Travel,14-05-2025,14-05-2026,586.26,29357.83,CL1526,,0,Rejected
P1527,C1527,Vivaan Patel,Mumbai,Female,73,Health,10-04-2023,09-04-2024,443.11,91074.91,CL1527,15-09-2023,8683.92,Settled
P1528,C1528,Ananya Gupta,Pune,Male,41,Health,09-03-2025,09-03-2026,318.73,80220.94,CL1528,13-10-2025,1449.66,Pending
P1529,C1529,Kunal Mehta,Jaipur,Male,46,Auto,13-01-2025,13-01-2026,1454.33,89391.05,CL1529,,0,Rejected
P1530,C1530,Arjun Nair,Chennai,Male,49,Travel,06-04-2023,05-04-2024,680.43,65998.13,CL1530,,0,Rejected
P1531,C1531,Vihaan Reddy,Chandigarh,Male,44,Travel,07-11-2024,07-11-2025,1292.05,84081.33,CL1531,25-03-2025,6303.86,Rejected
P1532,C1532,Ishita Singh,Chennai,Female,38,Travel,12-07-2025,12-07-2026,1028.25,94070.13,CL1532,20-09-2025,8231.76,Settled
P1533,C1533,Arjun Nair,Chandigarh,Male,31,Health,19-03-2024,19-03-2025,1337.73,25566.09,CL1533,06-09-2024,1610.29,Settled
P1534,C1534,Pooja Sharma,Hyderabad,Male,29,Travel,11-03-2023,10-03-2024,787.65,22843.41,CL1534,08-02-2024,1362.83,Pending
P1535,C1535,Ananya Gupta,Delhi,Male,56,Health,06-02-2025,06-02-2026,769.31,95772.05,CL1535,20-10-2025,3911.81,Pending
P1536,C1536,Aditya Verma,Lucknow,Female,32,Auto,28-08-2025,28-08-2026,456.33,40354.27,CL1536,14-02-2026,8000.75,Rejected
P1537,C1537,Aditya Verma,Kolkata,Male,42,Auto,22-04-2025,22-04-2026,1229.63,85059.39,CL1537,,0,Rejected
P1538,C1538,Aditya Verma,Jaipur,Male,50,Health,18-03-2025,18-03-2026,533.4,42083.01,CL1538,07-09-2025,8079.38,Pending
P1539,C1539,Meera Kulkarni,Jaipur,Female,37,Travel,23-10-2025,23-10-2026,1257.36,86936.92,CL1539,08-01-2026,9712.3,Rejected
P1540,C1540,Meera Kulkarni,Kolkata,Female,70,Auto,30-10-2023,29-10-2024,1126.37,23452.55,CL1540,18-02-2024,2633.11,Rejected
P1541,C1541,Ananya Gupta,Ahmedabad,Male,30,Health,05-10-2024,05-10-2025,910.13,30923.51,CL1541,12-08-2025,9135.23,Settled
P1542,C1542,Kavya Reddy,Jaipur,Female,65,Health,21-08-2024,21-08-2025,336.13,28240.89,CL1542,,0,Rejected
P1543,C1543,Kavya Reddy,Mumbai,Male,52,Auto,07-09-2024,07-09-2025,648.03,97610.5,CL1543,29-05-2025,6202.17,Rejected
P1544,C1544,Aditya Verma,Bengaluru,Female,39,Travel,12-02-2025,12-02-2026,842.25,67756.79,CL1544,09-02-2026,5152.99,Rejected
P1545,C1545,Arjun Nair,Jaipur,Male,60,Travel,19-01-2025,19-01-2026,694.44,71088.01,CL1545,06-01-2026,5417.97,Settled
P1546,C1546,Meera Kulkarni,Hyderabad,Male,71,Travel,12-01-2023,12-01-2024,722.66,83732.41,CL1546,20-05-2023,5853.81,Rejected
P1547,C1547,Aditya Verma,Hyderabad,Female,31,Health,07-08-2024,07-08-2025,1079.69,84852.02,CL1547,26-12-2024,9629.02,Pending
P1548,C1548,Sneha Iyer,Chennai,Male,61,Health,14-07-2023,13-07-2024,1485.17,87359.23,CL1548,18-08-2023,8671.72,Settled
P1549,C1549,Arjun Nair,Pune,Female,63,Travel,23-12-2025,23-12-2026,1458.11,35688.8,CL1549,23-07-2026,1890.83,Rejected
P1550,C1550,Ananya Gupta,Kolkata,Female,34,Health,16-08-2024,16-08-2025,932.96,92579.5,CL1550,,0,Rejected
P1551,C1551,Ishita Singh,Lucknow,Male,42,Auto,14-10-2023,13-10-2024,713.82,77460.95,CL1551,,0,Rejected
P1552,C1552,Ishita Singh,Delhi,Female,41,Auto,23-04-2023,22-04-2024,1191.33,30851.41,CL1552,24-12-2023,4307.19,Rejected
P1553,C1553,Priya Nair,Hyderabad,Female,54,Health,27-01-2024,26-01-2025,1353.54,29480.13,CL1553,17-03-2024,2880.29,Settled
P1554,C1554,Ishita Singh,Lucknow,Male,56,Health,15-10-2024,15-10-2025,257.27,80485.55,CL1554,03-09-2025,6938.24,Settled
P1555,C1555,Ananya Gupta,Indore,Male,56,Health,11-04-2025,11-04-2026,1440.76,26315.83,CL1555,26-09-2025,2147.99,Settled
P1556,C1556,Vivaan Patel,Bengaluru,Female,30,Health,09-10-2024,09-10-2025,906.84,98198.99,CL1556,10-10-2024,3906.34,Pending
P1557,C1557,Arjun Nair,Delhi,Male,73,Auto,03-11-2024,03-11-2025,1448.55,22506.04,CL1557,09-02-2025,8006.37,Pending
P1558,C1558,Aditya Verma,Jaipur,Female,21,Health,18-12-2025,18-12-2026,339.82,83042.27,CL1558,,0,Rejected
P1559,C1559,Priya Nair,Hyderabad,Female,75,Travel,11-04-2025,11-04-2026,1243.9,70571.25,CL1559,03-02-2026,8094.87,Settled
P1560,C1560,Ishita Singh,Lucknow,Female,43,Health,10-10-2025,10-10-2026,1307.09,37368.65,CL1560,21-05-2026,2254.52,Pending
P1561,C1561,Kavya Reddy,Jaipur,Male,41,Auto,24-11-2025,24-11-2026,747.89,60575.49,CL1561,29-04-2026,9668.53,Settled
P1562,C1562,Aditya Verma,Lucknow,Female,47,Health,28-01-2024,27-01-2025,707.68,28253.68,CL1562,03-07-2024,4756.9,Rejected
P1563,C1563,Aarav Sharma,Kolkata,Female,31,Travel,31-05-2023,30-05-2024,732.04,51058.77,CL1563,05-10-2023,4260.65,Rejected
P1564,C1564,Vivaan Patel,Delhi,Male,32,Auto,19-08-2025,19-08-2026,672.38,42735.57,CL1564,,0,Rejected
P1565,C1565,Kunal Mehta,Lucknow,Female,65,Auto,11-01-2023,11-01-2024,1461.53,74274.54,CL1565,20-03-2023,6391.8,Pending
P1566,C1566,Meera Kulkarni,Jaipur,Female,52,Travel,20-02-2024,19-02-2025,260.45,67681.91,CL1566,05-10-2024,9236.87,Pending
P1567,C1567,Meera Kulkarni,Ahmedabad,Male,63,Health,22-10-2023,21-10-2024,732.63,47736.18,CL1567,18-02-2024,6254.56,Rejected
P1568,C1568,Kunal Mehta,Pune,Male,47,Auto,27-02-2023,27-02-2024,928.95,45273.07,CL1568,08-03-2023,8018.58,Pending
P1569,C1569,Arjun Nair,Lucknow,Female,43,Travel,02-08-2023,01-08-2024,579,73048.65,CL1569,17-12-2023,5736.87,Pending
P1570,C1570,Kavya Reddy,Jaipur,Female,73,Travel,20-07-2023,19-07-2024,679.44,57151.58,CL1570,20-06-2024,9891.31,Settled
P1571,C1571,Meera Kulkarni,Kolkata,Female,69,Travel,15-07-2023,14-07-2024,1106.62,32629.45,CL1571,21-05-2024,7595.79,Pending
P1572,C1572,Pooja Sharma,Chennai,Male,69,Travel,03-05-2024,03-05-2025,641.62,93844.34,CL1572,,0,Rejected
P1573,C1573,Vihaan Reddy,Hyderabad,Male,54,Auto,12-12-2023,11-12-2024,1358.26,67883.82,CL1573,13-11-2024,1470.17,Settled
P1574,C1574,Aarav Sharma,Mumbai,Male,25,Auto,03-08-2023,02-08-2024,261.43,81719.45,CL1574,18-09-2023,3269.15,Pending
P1575,C1575,Vivaan Patel,Kolkata,Male,39,Auto,22-07-2025,22-07-2026,1209.87,80218.47,CL1575,,0,Rejected
P1576,C1576,Sai Kumar,Chandigarh,Female,39,Auto,10-09-2024,10-09-2025,401.95,46803.87,CL1576,15-01-2025,9199.13,Pending
P1577,C1577,Pooja Sharma,Mumbai,Female,43,Health,10-08-2023,09-08-2024,405.39,45486.01,CL1577,04-02-2024,4917.89,Pending
P1578,C1578,Ananya Gupta,Pune,Male,27,Health,21-02-2024,20-02-2025,1363.45,26646.12,CL1578,,0,Rejected
P1579,C1579,Vivaan Patel,Ahmedabad,Female,57,Health,25-08-2025,25-08-2026,357.92,78822.1,CL1579,07-04-2026,7779.98,Pending
P1580,C1580,Kunal Mehta,Jaipur,Female,45,Travel,28-02-2024,27-02-2025,1065.62,75443.98,CL1580,17-12-2024,1909.26,Rejected
P1581,C1581,Ananya Gupta,Pune,Male,51,Travel,04-07-2024,04-07-2025,969.84,85632.32,CL1581,,0,Rejected
P1582,C1582,Vihaan Reddy,Chennai,Male,44,Health,16-10-2025,16-10-2026,458.05,44220.42,CL1582,04-07-2026,1298.39,Settled
